id,title,ratings,director,writer,pri_genre,sec_genre,ter_genre,release_date,language,company,duration,eze_rank
790,Magic Cap,,Ikechukwu Onyeka,Chike Bryan,Comedy,,,10/1/2006,English,"Divine Touch Productions,P. Collins Productions",,699
7276,Mission To Love,,Chima Okoroji,"Kaycee Oguejiofor,Chikelue Okonkwo",Drama,,,1/1/2015,English,Filmark Productions,,398
4215,Society Lady,,Kabat Esosa Egbon,,Drama,Thriller,,7/1/2003,English,O.J. Production,,506
4358,The Last Dream,,Peter Ugwu Chibuzor,,Drama,,,8/1/2006,English,Outstrip Movies Investment,,412
778,Endless Passion,,Kabat Esosa Egbon,Chisom Juliet Okereke,Drama,,,5/1/2005,English,Nwaeze Investment,,880
5364,W„≤K„®,,Abimbola Olagunju,Jenine Okafor,Thriller,,,11/1/2022,English,Bimmybat Films,,457
6344,Get Over It,,Jerry Isichei,Maria Samson,Comedy,Romance,,5/1/2022,English,Africa Magic Original Films,,172
6362,Ajebidan,,Odunlade Adekola,,Comedy,Fantasy,,10/1/2020,Yoruba,Odunlade Adekola Films Production,,259
1170,Oyato,,Wemimo Olu Paul,,Drama,,,6/1/2003,Yoruba,Wemimo Films,,631
6583,My Last Ambition 2,,Ikechukwu Onyeka,"Victor Ibe,Omotola Jalade-Ekeinde,Ubong Bassey Nya",Drama,,,6/1/2009,English,True Pictures Production,,627
5871,Finding Mr. Right,,Stanley Obi,,Comedy,Romance,,5/1/2019,English,Rok Studios,,408
259,Sins Of My Mother 2,,Ifeayi Ekowen,,Drama,,,11/1/2005,English,"Golden Movies,Obsyl Production",,441
5684,Locked,,Simon Peacemaker,Mazi Akinola,Drama,Thriller,,8/1/2019,English,"Charles Granville Productions,Kingsville Media Group",102,150
2567,2Nd February,,Saheed Apanpa,,Drama,,,10/1/2022,English,Evol's Studio,,302
6677,No Limitation,,"Kalu Anya,Chris Oge-Kalu",Chris Oge-Kalu,Drama,,,10/1/2004,English,I.G. Best Industries,,418
324,Final World Cup 2,,Ugo Ugbor,,Comedy,,,8/1/2005,English,Rich-Rock Productions,,393
2273,Mystic Ring 2,,Henry Udeze,,Drama,,,4/1/2007,English,"Finomas Concept Production,NDSS & Co",,326
5678,The Matron,,Derek Godfrey,Anthony Kehinde Joseph,Drama,,,4/1/2021,English,Rok Studios,,275
7239,The Rejected Stone,,Osita Okoli,Adaeze Ibechukwu,Drama,,,10/1/2019,English,Rok Studios,,285
7474,The Begotten 2,,E. O'Squires Ogbonnaya,,Drama,,,7/1/2005,English,Mega Movies Industry,,670
4342,Don'T Get Mad Get Even,,Wale Ojo,Raphael Dedenuola,Drama,,,10/1/2019,English,RGD Media Productions,150,1099
7120,Changing Faces,,Faruk Lasaki,Yinka Ogun,Mystery,,,5/1/2008,English,Ark Resources Entertainment,93,109
7403,Back Drop,,Afam Okereke,Tchidi Chikere,Action,Drama,Thriller,5/1/2005,English,Annex Merchandise Ltd.,,493
2965,Fillo,,Reuben Reng,"Dimbo Atiya,Tongryang Pantu",Drama,,,3/1/2019,Hausa,Africa Magic Original Films,,29
1217,Before The Sunrise 2,,Fred Amata,,Drama,,,10/1/2005,English,Don-Nkems Investment,,428
984,Endless Lies,,Charles Inojie,"Emem Isong,Uche Jombo",Drama,,,5/1/2005,English,"Reemmy Jes Production (RJP),Valseco Industries",,937
4341,Dance With Peter,,,,Reality-TV,,,9/1/2015,English,Playcenter,,6
868,Twin Brothers,,MacCollins Chidebe,,Comedy,Drama,Family,2/1/2003,English,Kidex Investment Ltd.,,503
6800,Strange Sisters,,Goodnews Erico Isika,"Christabel Egbenya,Smart Jobonson",Drama,,,11/1/2020,English,Trust in God Films Production,,191
4411,Don'T Fight It,,Okey Ifeanyi,Okey Ifeanyi,Drama,,,7/1/2016,English,Spicyly Tee Films,134,249
407,Heart Of A Saint,,Ikenna Aniekwe,Ikenna Aniekwe,Drama,,,4/1/2012,English,Avionic Productions,66,360
5573,Where To Call Home,,Eddie Iyamah,Eddie Iyamah,Short,,,,,Forward Productions,,3
6892,Size 12,,Tope Alake,"Stanley Isokoh,Mary Lazarus",Comedy,Drama,,6/1/2019,English,M-Laz Production,95,366
2244,Love Me Blind,,Chinneylove Eze,"Temitope Bolade,Lucky Ekele,Diche Enunwa",Drama,,,11/1/2021,English,"ChinneyLove Eze Production,Rok Studios",,141
673,Ghetto Love,,Chico Ejiro,,Romance,,,9/1/2003,English,Grand Touch Pictures,,525
1377,End Of Money 2,,Andy Chukwu,,Drama,,,12/1/2005,English,A-Z Production,,612
7176,The Crazy Stupid Lover,,Sunshine Olawore,Nnan Kalu,Romance,,,3/1/2020,English,Brainwork Entertainment Productions,82,55
2005,I Need A Husband 2,,Charles Inojie,,Comedy,,,12/1/2007,English,Louis Merchandise,,578
5319,Kingdom Of Men 2,,E. O'Squires Ogbonnaya,E. O'Squires Ogbonnaya,Drama,,,9/1/2008,English,SQX Nigeria,,275
4900,Ite,,Saliu Gbolagade,Ogunrinde Modupe,Drama,,,5/1/2022,Yoruba,O.M.A. Film Production,,227
3263,Troublemaker'S Bodyguard,,Francisca Eleyele,,Drama,,,1/1/2023,English,Rok Studios,,295
2977,You Or I,,Saidi Balogun,"Allwell Ademola,Saidi Balogun",Drama,,,7/1/2013,"Yoruba,English",Saidi Balogun Film Production,,184
5775,Honeymoon Hotel,,Elvis Chuks,"Pascal Amanfo,Ubong Bassey Nya",Comedy,Romance,,8/1/2014,English,Diamond Groove pictures,,175
1837,The Other Woman,,Blessing Oke Akambe,"Blessing Oke Akambe,Gift Collins",Drama,,,9/1/2021,English,Okembe Pictures,,278
683,Store Keeper 2,,E. O'Squires Ogbonnaya,E. O'Squires Ogbonnaya,Comedy,,,7/1/2006,English,Global Update Pictures,,344
317,Okan Eniyan,,Abiodun Olanrewaju,,Drama,,,6/1/2017,,Fespris Production,,364
608,Gbomo Gbomo Express,5.1,Walter Taylaur,"Scot Eritemu,Walter Taylaur",Crime,,,10/1/2015,English,Waltbanger101 Productions,96,602
2726,Swapped,,Michael Jaja,Doris Ariole,Drama,,,4/1/2020,English,Rok Studios,,284
2281,The Last Burial,,Lancelot Oduwa Imasuen,,Fantasy,,,,English,,103,1030
6336,Palace Slave 2,,Emeka Nwosu,,Drama,,,11/1/2010,English,Great Movies Ind. Ltd.,,636
5598,World Of Commotion 2,,Michael Jaja,,Drama,,,2/1/2007,English,Great Future Production Company,,743
1570,Nneka The Pretty Serpent,,Zeb Ejiro,"Writers,Zeb Ejiro,Joe Dudun,Okechukwu Ogunjiofor",Drama,Horror,,6/1/1994,"Ibo,English","Klink Studios,Videosonic Studios",120,697
1887,Golden Heart 2,,Kabat Esosa Egbon,"Kabat Esosa Egbon,Tonia Ojemekele",Drama,,,7/1/2007,English,De-Kross Movie Production,,603
1146,Akunne,,Charles Uwagbai,Doris Ariole,Drama,,,8/1/2018,English,"Oakfil Productions,Rok Studios",148,528
6891,The Ghost,,C.J. Edward Enenta,"C.J. Edward Enenta,Nnaemeka Madubuchi",Drama,Fantasy,,4/1/2005,English,Simony International,75,570
4149,Sacred Blood,,Theodore Anyanji,Theodore Anyanji,Drama,,,1/1/2006,English,Dozac Global Maxima Investment,,386
3428,Stacy,,Chukwuma Emma-Ogbangwo,Chimdinma Ebere,Drama,,,6/1/2018,English,Twin Dragons Studio,112,309
3525,Lagidigba,,"Bambo Adebajo,Yemi Remi",,Drama,,,2/1/2000,Yoruba,"Victory Home Entertainment,Yemi Adegunju Movie",,238
6801,The Richest Man,,Osita Okoli,,Drama,,,1/1/2003,English,Hycromax Investment,,380
4463,The Evil Queen,,Iyke Odife,,Drama,,,3/1/2008,English,"Kensimon Production,Ruling Movies",46,735
5394,Almost A Virgin,,Akin-Tijani Balogun,"Tony Emeka,Emem Iniobong,Emem Isong",Drama,,,11/1/2018,English,Royal Arts Academy,90,484
2804,Beckma,,Best Okoduwa,"Juliet Iwuoha,Best Okoduwa,Ted Phido",Action,Adventure,,11/1/2022,English,"Arda Development Communication,Savvy Minaz Nigeria",,545
756,Alhaji Agba,,Ajani Ogunleye,,Drama,,,8/1/2006,Yoruba,"Epsalum,Wastayo Films",,220
